PolY1,PolX1,PolY2,PolX2,PolY3,PolX3,PolY4,PolX4,PolY5,PolX5,PolY6,PolX6
,,,,26.12142842,48.54698815,7.432417563,37.70679609,13.98028566,27.63766983,21.1420164,71.37543701
,,,,26.15974717,47.79127481,7.489631096,37.84338525,14.12904085,27.99280164,21.39089527,70.78127418
,,,,26.1911148,47.03440661,7.545580611,37.98184977,14.27450959,28.3528094,21.63427566,70.17895351
,,,,26.21552176,46.2766141,7.600249066,38.12214748,14.41664757,28.71758344,21.87208344,69.56865847
,,,,26.23296062,45.51812811,7.653619808,38.26423564,14.5554115,29.08701265,22.10424616,68.95057498
,,,,26.24342606,44.75917968,7.705676579,38.40807097,14.69075911,29.46098451,22.33069312,68.3248913
,,,,26.24691489,44,7.756403523,38.55360965,14.82264916,29.83938509,22.55135532,67.69179802
,,,,26.24342606,43.24082032,7.805785187,38.70080736,14.95104149,30.22209913,22.76616556,67.05148799
,,,,26.23296062,42.48187189,7.85380653,38.84961925,15.07589698,30.60901005,22.97505841,66.40415626
,,,,26.21552176,41.7233859,7.900452924,39,15.1971776,31,23.17797022,65.75
,,,,26.1911148,40.96559339,7.94571016,39.1519038,15.31484642,31.39494987,23.3748392,65.08921848
,,,,26.15974717,40.20872519,7.989564452,39.30528437,15.42886757,31.79373937,23.56560537,64.42201298
,,,,26.12142842,39.45301185,8.032002441,39.460095,15.53920635,32.19624701,23.75021062,63.74858674
,,,,26.07617022,38.69868356,8.073011201,39.61628853,15.64582912,32.60235018,23.92859873,63.06914489
,,,,26.02398637,37.94597011,8.11257824,39.77381738,15.74870342,33.01192519,24.10071535,62.38389439
,,,,25.96489276,37.19510077,8.150691506,39.93263357,15.84779791,33.42484728,24.26650805,61.69304397
,,,,25.89890738,36.44630427,8.187339388,40.09268872,15.94308241,33.84099066,24.42592634,60.99680409
,,,,25.82605035,35.6998087,8.222510724,40.25393407,16.03452788,34.26022857,24.57892165,60.29538681
,,,,25.74634384,34.95584145,8.256194799,40.4163205,16.12210648,34.68243331,24.72544738,59.58900581
,,,,25.65981215,34.21462914,8.288381354,40.57979857,16.20579152,35.10747627,24.86545889,58.87787623
,,,,25.56648162,33.47639754,8.319060584,40.74431846,16.28555752,35.53522798,24.99891354,58.16221472
,,,,25.4663807,32.74137154,8.348223144,40.90983006,16.36138018,35.96555815,25.12577068,57.44223926
,,,,25.35953986,32.00977502,8.375860151,41.07628295,16.43323639,36.39833568,25.24599166,56.71816916
,,,,25.24599166,31.28183084,8.401963186,41.24362644,16.50110428,36.83342875,25.35953986,55.99022498
,,,,25.12577068,30.55776074,8.426524298,41.41180955,16.56496317,37.27070483,25.4663807,55.25862846
