Left,Right
Molloy Lions,Stony Brook Seawolves
Southern Wesleyan Warriors,Furman Paladins
Cal State Fullerton Titans,Hofstra Pride
Florida Memorial Lions,Jacksonville Dolphins
Drake Bulldogs,UMKC Kangaroos
Fairleigh Dickinson Knights,Princeton Tigers
Yale Bulldogs,Vermont Catamounts
Coppin State Eagles,Wofford Terriers
Westminster (PA) Titans,Youngstown State Penguins
SUNY-Maritime Privateers,Army West Point Black Knights
Loyola Chicago Ramblers,Boston College Eagles
Texas State Bobcats,Cal Poly Mustangs
UC Irvine Anteaters,Toledo Rockets
Eastern New Mexico Greyhounds,New Mexico State Aggies
SIUE Cougars,Valparaiso Crusaders
St. Mary's (TX) Rattlers,Texas A&M-Corpus Christi Islanders
Northern Colorado Bears,UIW Cardinals
Central Connecticut State Blue Devils,Loyola Marymount Lions
USC Upstate Spartans,Portland Pilots
Harvard Crimson,San Francisco Dons
Southern Illinois Salukis,Massachusetts Minutemen
UC Riverside Highlanders,Pacific Tigers
Elon Phoenix,Abilene Christian Wildcats
Oral Roberts Golden Eagles,Northern Illinois Huskies
Southern University Jaguars,Western Michigan Broncos
VMI Keydets,Stetson Hatters
Mars Hill Lions,Wofford Terriers
California Baptist Lancers,UAPB Golden Lions
Alcorn State Braves,Liberty Flames
Massachusetts-Boston Beacons,Massachusetts-Lowell River Hawks
James Madison Dukes,Oakland Golden Grizzlies
Nicholls Colonels,North Carolina Central Eagles
Denver Pioneers,Seattle Redhawks
Coppin State Eagles,Charleston Southern Buccaneers
Chattanooga Mocs,Michigan Wolverines
Grambling State Tigers,Niagara Purple Eagles
Gardner-Webb Runnin' Bulldogs,Eastern Illinois Panthers
Howard Bison,Little Rock Trojans
Fairfield Stags,Longwood Lancers
UNCG Spartans,Delaware Fightin' Blue Hens
Portland State Vikings,UC Santa Barbara Gauchos
Louisiana-Monroe Warhawks,Tennessee Tech Golden Eagles
Samford Bulldogs,Purdue Fort Wayne Mastodons
St. Francis Brooklyn Terriers,IUPUI Jaguars
UNCW Seahawks,Arkansas State Red Wolves
Mississippi College Choctaws,McNeese State Cowboys
Alabama A&M Bulldogs,Northwestern State Demons
Texas State Bobcats,USC Upstate Spartans
Cleveland State Vikings,Ohio State Buckeyes
Lamar Cardinals,UT Rio Grande Valley Vaqueros
