Left,Right
South Alabama Jaguars,Florida A&M Rattlers
UT Martin Skyhawks,UNC Asheville Bulldogs
Cal State Fullerton Titans,Cal Lutheran Kingsmen
Grand Canyon Antelopes,Boise State Broncos
Weber State Wildcats,BYU Cougars
Utah Valley Wolverines,Denver Pioneers
South Dakota State Jackrabbits,UNI Panthers
UC Irvine Anteaters,Utah State Aggies
CSUN Matadors,Sacramento State Hornets
Pacific Tigers,Air Force Falcons
San Diego Toreros,Long Beach State 49ers
California Baptist Lancers,Mississippi Valley State Delta Devils
Portland State Vikings,Portland Bible Wildcats
FGCU Eagles,Colgate Raiders
Columbia Lions,Delaware Fightin' Blue Hens
Lafayette Leopards,Sacred Heart Pioneers
Valparaiso Crusaders,UC Riverside Highlanders
Washington Huskies,UC Santa Barbara Gauchos
Virginia Cavaliers,Morgan State Bears
Florida State Seminoles,Troy Trojans
Wisconsin Badgers,Rutgers Scarlet Knights
Coppin State Eagles,UMBC Retrievers
East Tennessee State Buccaneers,Reinhardt Eagles
George Mason Patriots,Vermont Catamounts
St. Francis Brooklyn Terriers,St. Joseph's (NY-Brooklyn) Bears
Delaware State Hornets,Cairn University Highlanders
Montana Grizzlies,College of Idaho Coyotes
Pepperdine Waves,CSUN Matadors
American University Eagles,Saint Francis U Red Flash
Appalachian State Mountaineers,Howard Bison
Boston University Terriers,Massachusetts-Lowell River Hawks
Davidson Wildcats,Winthrop Eagles
Dayton Flyers,Detroit Titans
Elon Phoenix,Furman Paladins
James Madison Dukes,Radford Highlanders
La Salle Explorers,Bucknell Bison
Maine Black Bears,Fordham Rams
Massachusetts Minutemen,Holy Cross Crusaders
Oklahoma Sooners,Notre Dame Fighting Irish
Presbyterian Blue Hose,Jacksonville Dolphins
Youngstown State Penguins,Central Michigan Chippewas
NJIT Highlanders,Army West Point Black Knights
Little Rock Trojans,Bradley Braves
Arkansas State Red Wolves,Evansville Aces
Abilene Christian Wildcats,Campbell Fighting Camels
Belmont Bruins,Lipscomb Bisons
Eastern Illinois Panthers,Fontbonne Griffins
Mississippi Valley State Delta Devils,Southeast Missouri State Redhawks
Valparaiso Crusaders,High Point Panthers
UIW Cardinals,Trinity (TX) Tigers
Grambling State Tigers,Centenary Gentlemen
Colorado Buffaloes,South Dakota Coyotes
New Mexico State Aggies,New Mexico Lobos
Saint Mary's Gaels,Bethune-Cookman Wildcats
Bakersfield Roadrunners,California Merced Bobcats
Canisius Golden Griffins,Robert Morris Colonials
Columbia Lions,Colgate Raiders
Citadel Bulldogs,Johnson & Wales (NC) Wildcats
Dartmouth Big Green,Quinnipiac Bobcats
Delaware Fightin' Blue Hens,Navy Midshipmen
Drexel Dragons,Loyola Maryland Greyhounds
Duquesne Dukes,Marshall Thundering Herd
George Washington Colonials,Towson Tigers
Hofstra Pride,Monmouth Hawks
UIC Flames,Illinois State Redbirds
Louisville Cardinals,Central Arkansas Bears
Manhattan Jaspers,Stony Brook Seawolves
Morgan State Bears,Binghamton Bearcats
Princeton Tigers,Saint Joseph's Hawks
Richmond Spiders,Coppin State Eagles
St. Bonaventure Bonnies,Siena Saints
Stetson Hatters,Western Illinois Leathernecks
Toledo Rockets,Detroit Titans
Wright State Raiders,Miami (OH) RedHawks
Yale Bulldogs,Lehigh Mountain Hawks
Purdue Fort Wayne Mastodons,Akron Zips
Cleveland State Vikings,Bowling Green Falcons
Coastal Carolina Chanticleers,Hampton Pirates
Eastern Kentucky Colonels,USC Upstate Spartans
Texas Tech Red Raiders,UAPB Golden Lions
New Orleans Privateers,South Alabama Jaguars
Northern Illinois Huskies,UC Davis Aggies
Oral Roberts Golden Eagles,FGCU Eagles
Southern Illinois Salukis,Saint Louis Billikens
Louisiana Ragin' Cajuns,Loyola (LA) Wolfpack
UT Rio Grande Valley Vaqueros,North Dakota Fighting Hawks
Texas A&M-Corpus Christi Islanders,Texas State Bobcats
Air Force Falcons,Denver Pioneers
BYU Cougars,Utah State Aggies
Loyola Chicago Ramblers,Ball State Cardinals
Fresno State Bulldogs,Weber State Wildcats
Cal State Fullerton Titans,Loyola Marymount Lions
Long Beach State 49ers,Southern Utah Thunderbirds
CSUN Matadors,Cal State San Marcos Cougars
Pacific Tigers,Texas-Permian Basin Falcons
San Diego State Aztecs,San Diego Toreros
California Baptist Lancers,UC Irvine Anteaters
Portland State Vikings,Portland Pilots
Gardner-Webb Runnin' Bulldogs,Bob Jones University Bruins
Fairfield Stags,Oakland Golden Grizzlies
Florida A&M Rattlers,Fort Valley State Wildcats
Purdue Boilermakers,Maryland Terrapins
Tennessee Tech Golden Eagles,Warren Wilson Owls
Wofford Terriers,Kentucky Christian Knights
IUPUI Jaguars,Indiana-Kokomo Cougars
South Carolina State Bulldogs,Voorhees College Tigers
Milwaukee Panthers,Drake Bulldogs
Chicago State Cougars,Trinity Christian Trolls
San Jose State Spartans,Bethune-Cookman Wildcats
Seattle Redhawks,Omaha Mavericks
UC Riverside Highlanders,Pepperdine Waves
Columbia Lions,Bryant Bulldogs
Elon Phoenix,UNCG Spartans
George Mason Patriots,James Madison Dukes
New Mexico Lobos,Saint Mary's Gaels
Longwood Lancers,Frostburg State Bobcats
Massachusetts-Lowell River Hawks,Maine-Fort Kent Bengals
South Dakota State Jackrabbits,Southern University Jaguars
Santa Clara Broncos,Idaho State Bengals
Abilene Christian Wildcats,Schreiner Mountaineers
Eastern Michigan Eagles,Central State Marauders
Oklahoma Sooners,Wichita State Shockers
Seton Hall Pirates,Kentucky Wildcats
Central Connecticut State Blue Devils,Penn State-Wilkes-Barre Nittany Lions
Indiana State Sycamores,Truman State Bulldogs
UNC Asheville Bulldogs,Western Carolina Catamounts
Saint Peter's Peacocks,LIU Brooklyn Blackbirds
Stetson Hatters,Marist Red Foxes
Holy Cross Crusaders,Rhode Island Rams
Towson Tigers,Morgan State Bears
Appalachian State Mountaineers,North Carolina Central Eagles
Brown Bears,Stony Brook Seawolves
Cincinnati Bearcats,Xavier Musketeers
Dartmouth Big Green,Maine Black Bears
Drexel Dragons,UMBC Retrievers
Miami (OH) RedHawks,Purdue Fort Wayne Mastodons
UNI Panthers,Dubuque Spartans
Utah Runnin' Utes,BYU Cougars
Villanova Wildcats,Saint Joseph's Hawks
Youngstown State Penguins,Western Michigan Broncos
Quinnipiac Bobcats,Lafayette Leopards
South Dakota Coyotes,UMKC Kangaroos
Binghamton Bearcats,Loyola Maryland Greyhounds
Gardner-Webb Runnin' Bulldogs,Johnson & Wales (NC) Wildcats
SIUE Cougars,Harris-Stowe Hornets
Ohio Bobcats,Radford Highlanders
Air Force Falcons,Army West Point Black Knights
Boise State Broncos,Central Washington Wildcats
Colorado State Rams,Sam Houston State Bearkats
East Tennessee State Buccaneers,UT Martin Skyhawks
George Washington Colonials,Valparaiso Crusaders
Hofstra Pride,Rider Broncs
Howard Bison,American University Eagles
Kent State Golden Flashes,Wright State Raiders
La Salle Explorers,Penn Quakers
Mercer Bears,Georgia Southern Eagles
Mount St. Mary's Mountaineers,Lehigh Mountain Hawks
North Carolina A&T Aggies,Greensboro Pride
Northeastern Huskies,Oakland Golden Grizzlies
Robert Morris Colonials,Siena Saints
Hampton Pirates,William & Mary Tribe
NJIT Highlanders,St. Francis Brooklyn Terriers
Central Michigan Chippewas,Southern Utah Thunderbirds
Weber State Wildcats,Utah State Aggies
Austin Peay Governors,Calvary Warriors
Texas State Bobcats,Houston Baptist Huskies
Delaware State Hornets,Jacksonville State Gamecocks
Alcorn State Braves,Champion Baptist College Tigers
Bowling Green Falcons,Green Bay Phoenix
Eastern Kentucky Colonels,Northern Kentucky Norse
Jacksonville Dolphins,Middle Georgia State Knights
Texas A&M Aggies,Boston College Eagles
Little Rock Trojans,Central Arkansas Bears
Fresno State Bulldogs,Long Beach State 49ers
Vermont Catamounts,Harvard Crimson
Albany Great Danes,Monmouth Hawks
Southeast Missouri State Redhawks,Southern Illinois Salukis
Northern Arizona Lumberjacks,Utah Valley Wolverines
Western Illinois Leathernecks,Eastern Illinois Panthers
North Dakota State Bison,Eastern Washington Eagles
Texas Southern Tigers,Concordia (TX) Tornados
UC Irvine Anteaters,Montana Grizzlies
Cal Poly Mustangs,Bethune-Cookman Wildcats
Idaho Vandals,Bakersfield Roadrunners
Pepperdine Waves,Jackson State Tigers
Portland Pilots,Sacramento State Hornets
UC Santa Barbara Gauchos,UAPB Golden Lions
California Baptist Lancers,Cal Tech Beavers
California Golden Bears,San Diego State Aztecs
Hawaii Rainbow Warriors,Hawaii-Hilo Vulcans
Iona Gaels,Columbia Lions
Niagara Purple Eagles,New Hampshire Wildcats
Cleveland State Vikings,Notre Dame College of Ohio Falcons
Duquesne Dukes,Longwood Lancers
Chattanooga Mocs,VMI Keydets
Charleston Cougars,Georgia College & State Bobcats
Delaware Fightin' Blue Hens,Saint Francis U Red Flash
Georgia Tech Yellow Jackets,Florida A&M Rattlers
Charlotte 49ers,South Florida Bulls
Wagner Seahawks,College of New Rochelle Blue Angels
Wofford Terriers,Coastal Carolina Chanticleers
Lipscomb Bisons,Navy Midshipmen
Coppin State Eagles,Tennessee State Tigers
Evansville Aces,Ball State Cardinals
Tennessee Tech Golden Eagles,Hiwassee College Tigers
San Diego Toreros,CSUN Matadors
North Dakota Fighting Hawks,Milwaukee Panthers
Denver Pioneers,Western State Mountaineers
Santa Clara Broncos,Sonoma State Seawolves
Alabama A&M Bulldogs,Samford Bulldogs
Washington State Cougars,Montana State Bobcats
Dartmouth Big Green,Sacred Heart Pioneers
Maine Black Bears,Maine-Machias Clippers
Manhattan Jaspers,Hofstra Pride
UAPB Golden Lions,Champion Baptist College Tigers
Pacific Tigers,Long Beach State 49ers
Liberty Flames,South Carolina State Bulldogs
UMBC Retrievers,Towson Tigers
St. Francis Brooklyn Terriers,Massachusetts-Lowell River Hawks
Yale Bulldogs,Albany Great Danes
Little Rock Trojans,Miles Golden Bears
Jackson State Tigers,Fisk University Bulldogs
Louisiana-Monroe Warhawks,Grambling State Tigers
Louisiana Ragin' Cajuns,Prairie View A&M Panthers
Green Bay Phoenix,Wisconsin-Stout Blue Devils
South Dakota State Jackrabbits,Savannah State Tigers
Fordham Rams,NJIT Highlanders
Minnesota Golden Gophers,North Florida Ospreys
New Mexico Lobos,Colorado Buffaloes
Northern Colorado Bears,Johnson & Wales (CO) Wildcats
Wyoming Cowboys,Denver Pioneers
Sacramento State Hornets,Holy Names Hawks
Troy Trojans,Carver College Cougars
Fairleigh Dickinson Knights,Army West Point Black Knights
Georgia State Panthers,Chattanooga Mocs
Louisville Cardinals,Lipscomb Bisons
UNCG Spartans,Coppin State Eagles
Rider Broncs,Norfolk State Spartans
Stony Brook Seawolves,LIU Brooklyn Blackbirds
IUPUI Jaguars,Indiana-Northwest Red Hawks
Bryant Bulldogs,Hartford Hawks
Presbyterian Blue Hose,VMI Keydets
Southern Illinois Salukis,Murray State Racers
South Dakota Coyotes,Bellevue Bruins
Boise State Broncos,Alabama State Hornets
BYU Cougars,Portland State Vikings
San Diego State Aztecs,Cal State-Dominguez Hills Toros
North Alabama Lions,Huntingdon Hawks
Gardner-Webb Runnin' Bulldogs,Kennesaw State Owls
Campbell Fighting Camels,Central Pennsylvania College Knights
Dartmouth Big Green,Boston University Terriers
Duquesne Dukes,Maryland Eastern Shore Hawks
UMKC Kangaroos,Milwaukee Panthers
Wright State Raiders,Northwestern Ohio Racers
Longwood Lancers,Averett Cougars
McNeese State Cowboys,North Carolina Central Eagles
Samford Bulldogs,Morehead State Eagles
San Francisco Dons,Eastern Washington Eagles
Santa Clara Broncos,Mississippi Valley State Delta Devils
Bakersfield Roadrunners,Lamar Cardinals
Sacramento State Hornets,Westcliff Warriors
Georgia Southern Eagles,Brewton-Parker College Barons
George Washington Colonials,Howard Bison
Houston Baptist Huskies,Arlington Baptist Patriots
North Dakota Fighting Hawks,Mayville State Comets
Princeton Tigers,Iona Gaels
Boston University Terriers,Nicholls Colonels
Citadel Bulldogs,Southeast Missouri State Redhawks
Detroit Titans,Ohio Bobcats
IUPUI Jaguars,Western Illinois Leathernecks
Colgate Raiders,Marist Red Foxes
Evansville Aces,Jacksonville State Gamecocks
Liberty Flames,Kentucky Christian Knights
Presbyterian Blue Hose,Trinity (FL) Tigers
Binghamton Bearcats,Youngstown State Penguins
Louisiana-Monroe Warhawks,Stephen F. Austin Lumberjacks
Rider Broncs,Robert Morris Colonials
Southern Utah Thunderbirds,Pepperdine Waves
Albany Great Danes,Dartmouth Big Green
Mount St. Mary's Mountaineers,Wilson Phoenix
Richmond Spiders,Oral Roberts Golden Eagles
St. Francis Brooklyn Terriers,Saint Peter's Peacocks
VCU Rams,Charleston Cougars
USC Upstate Spartans,South Carolina State Bulldogs
Kennesaw State Owls,Tennessee Tech Golden Eagles
Austin Peay Governors,Purdue Fort Wayne Mastodons
UNCG Spartans,North Alabama Lions
North Florida Ospreys,Charleston Southern Buccaneers
Tennessee State Tigers,North Carolina A&T Aggies
Bethune-Cookman Wildcats,Jacksonville Dolphins
Idaho Vandals,Omaha Mavericks
Hampton Pirates,St. Leo Lions
Fairleigh Dickinson Knights,NJIT Highlanders
UMKC Kangaroos,McNeese State Cowboys
Wofford Terriers,UNC Asheville Bulldogs
High Point Panthers,Western Carolina Catamounts
Bradley Braves,Eastern Illinois Panthers
Murray State Racers,Jackson State Tigers
UT Rio Grande Valley Vaqueros,Texas State Bobcats
BYU Cougars,UNLV Runnin' Rebels
UT Martin Skyhawks,Brescia Bearcats
North Dakota State Bison,Missouri State Bears
Northwestern State Demons,Southern University Jaguars
Utah State Aggies,Alabama State Hornets
Weber State Wildcats,Utah Valley Wolverines
UC Irvine Anteaters,Denver Pioneers
Portland Pilots,Grambling State Tigers
San Diego Toreros,Northern Colorado Bears
San Jose State Spartans,Northern Arizona Lumberjacks
Portland State Vikings,Loyola Marymount Lions
Arizona Wildcats,Baylor Bears
Duquesne Dukes,Maine Black Bears
Coastal Carolina Chanticleers,North Carolina Central Eagles
Elon Phoenix,Canisius Golden Griffins
Fordham Rams,Howard Bison
Illinois State Redbirds,Cleveland State Vikings
Niagara Purple Eagles,Cornell Big Red
Stony Brook Seawolves,Delaware Fightin' Blue Hens
Vermont Catamounts,Northeastern Huskies
Winthrop Eagles,Hiwassee College Tigers
UCF Knights,Stetson Hatters
Bowling Green Falcons,Findlay Oilers
Colorado State Rams,South Dakota Coyotes
Loyola Chicago Ramblers,Norfolk State Spartans
New Mexico Lobos,Central Arkansas Bears
San Francisco Dons,Cal State Fullerton Titans
William & Mary Tribe,William Peace Pacers
Hartford Hawks,Oakland Golden Grizzlies
UC Davis Aggies,William Jessup Warriors
Milwaukee Panthers,Wisconsin Lutheran Warriors
CSUN Matadors,Pacific Tigers
Quinnipiac Bobcats,Drexel Dragons
UMBC Retrievers,FGCU Eagles
Northern Kentucky Norse,Miami (OH) RedHawks
Hawaii Rainbow Warriors,Mississippi Valley State Delta Devils
Cornell Big Red,Longwood Lancers
Morgan State Bears,Wilmington (DE) Wildcats
High Point Panthers,North Carolina Wesleyan Battling Bishops
Samford Bulldogs,Houston Baptist Huskies
Lipscomb Bisons,Covenant Scots
Drake Bulldogs,SIUE Cougars
UIC Flames,UIW Cardinals
Valparaiso Crusaders,Ball State Cardinals
Southeastern Louisiana Lions,California Baptist Lancers
Montana Grizzlies,North Dakota State Bison
New Mexico State Aggies,Northern Colorado Bears
Northern Illinois Huskies,Western Illinois Leathernecks
Portland Pilots,Seattle Redhawks
UAB Blazers,Alcorn State Braves
Akron Zips,Tennessee State Tigers
American University Eagles,Mount St. Mary's Mountaineers
Campbell Fighting Camels,Citadel Bulldogs
Clemson Tigers,Charleston Southern Buccaneers
UNCG Spartans,Radford Highlanders
Siena Saints,Charleston Cougars
Saint Francis U Red Flash,Franciscan University Barons
Stetson Hatters,UNC Asheville Bulldogs
Vermont Catamounts,St. Bonaventure Bonnies
Wright State Raiders,Morehead State Eagles
Purdue Fort Wayne Mastodons,IUPUI Jaguars
Kennesaw State Owls,Elon Phoenix
Georgia Southern Eagles,Bradley Braves
McNeese State Cowboys,Louisiana Ragin' Cajuns
Northwestern State Demons,Louisiana College Wildcats
Sam Houston State Bearkats,Alabama State Hornets
Arkansas State Red Wolves,Missouri State Bears
Loyola Chicago Ramblers,Benedictine Eagles
Murray State Racers,Evansville Aces
Louisiana-Monroe Warhawks,Nicholls Colonels
New Orleans Privateers,Williams Baptist Eagles
Jacksonville State Gamecocks,North Alabama Lions
UT Martin Skyhawks,Chattanooga Mocs
Texas A&M-Corpus Christi Islanders,Huston-Tillotson Rams
Denver Pioneers,Montana State Bobcats
Eastern Washington Eagles,South Dakota State Jackrabbits
Bakersfield Roadrunners,Cal Poly Mustangs
New Hampshire Wildcats,Marist Red Foxes
USC Upstate Spartans,Truett-McConnell Bears
Southern University Jaguars,California Baptist Lancers
Gardner-Webb Runnin' Bulldogs,Brevard College Tornados
Central Michigan Chippewas,UMKC Kangaroos
Dayton Flyers,Western Michigan Broncos
Delaware Fightin' Blue Hens,Delaware State Hornets
Eastern Michigan Eagles,UC Irvine Anteaters
Fairleigh Dickinson Knights,Saint Peter's Peacocks
Georgia State Panthers,UNCW Seahawks
Grambling State Tigers,Southeastern Louisiana Lions
Lafayette Leopards,Rosemont College Ravens
Stony Brook Seawolves,Hofstra Pride
Toledo Rockets,Cornell Big Red
Cleveland State Vikings,Niagara Purple Eagles
FGCU Eagles,Keiser Seahawks
Drake Bulldogs,Rider Broncs
Lamar Cardinals,Texas Southern Tigers
South Alabama Jaguars,Alabama A&M Bulldogs
Saint Louis Billikens,North Carolina Central Eagles
Quinnipiac Bobcats,Bethune-Cookman Wildcats
Omaha Mavericks,UC Santa Barbara Gauchos
North Dakota State Bison,Northland LumberJacks
UNI Panthers,Grand Canyon Antelopes
New Mexico State Aggies,CSUN Matadors
Utah Valley Wolverines,Idaho State Bengals
Loyola Marymount Lions,Boise State Broncos
San Francisco Dons,Northern Arizona Lumberjacks
Saint Mary's Gaels,Bucknell Bison
UC Riverside Highlanders,Life Pacific Warriors
